Repository,URL,Owner,Owner Type,Default Branch,Stars,Forks,Subscribers,Open Issues (total),Commits (total),PRs (total),Issues (total),Contributors (total),Created At,Pushed At,Updated At,Last Release Date,Primary Language,License,Topics,Size (KB),Homepage,Has Wiki,Has Pages,Has Build System,Has CI,Contains Parallel/Concurrency Code,Concurrency Signal,Project Type
rat-genome-database/mutant-strain-annotation-pipeline,https://github.com/rat-genome-database/mutant-strain-annotation-pipeline,rat-genome-database,Organization,,0,0,0,0,31,0,0,1,,,,,,gpl-3.0,,0,,No,No,Yes,No,Yes,parallelStream(,Research
hivdb/sierra-core,https://github.com/hivdb/sierra-core,hivdb,Organization,,0,0,0,0,187,4,4,2,,,,,,gpl-3.0,,0,,No,No,Yes,No,Yes,parallelStream(,Industrial OSS
onafetsidrasul/DotsandBoxes,https://github.com/onafetsidrasul/DotsandBoxes,onafetsidrasul,User,,0,0,0,0,220,9,0,3,,,,,,,,0,,No,No,Yes,Yes,Yes,parallelStream(,Research
joypeb/java-algorithm,https://github.com/joypeb/java-algorithm,joypeb,User,,0,0,0,0,178,0,0,1,,,,,,,,0,,No,No,Yes,No,Yes,parallelStream(,Open-source (general)
musty-codified/Oakland-v1-be,https://github.com/musty-codified/Oakland-v1-be,musty-codified,User,,0,0,0,0,478,2,0,20,,,,,,apache-2.0,,0,,No,No,Yes,Yes,Yes,parallelStream(,Research
korpling/ANNIS,https://github.com/korpling/ANNIS,korpling,Organization,,0,0,0,0,8938,285,581,32,,,,2025-10-10T09:03:35Z,,apache-2.0,search-interface;linguistic-corpora;corpus-search,0,,No,No,Yes,Yes,Yes,parallelStream(,Research
laurent-daniel-utt/MeshIneBits,https://github.com/laurent-daniel-utt/MeshIneBits,laurent-daniel-utt,User,,0,0,0,0,1024,87,123,25,,,,2022-09-23T07:53:14Z,,gpl-3.0,java;slicer;processing;3d-printing;3d-printer,0,,No,No,Yes,Yes,Yes,parallelStream(,Research
etendosoftware/etendo_core,https://github.com/etendosoftware/etendo_core,etendosoftware,Organization,,0,0,0,0,1502,569,228,47,,,,2025-09-30T16:01:55Z,,other,erp;financial;sales;etendo,0,,No,No,Yes,Yes,Yes,parallelStream(,Research
hardikSinghBehl/personal-finance-management-system,https://github.com/hardikSinghBehl/personal-finance-management-system,hardikSinghBehl,User,,0,0,0,0,41,0,0,1,,,,,,,java;spring-boot;spring-security;jwt-authentication;postgresql;lombok;swagger-ui;open-api-v3;finance-management,0,,No,No,Yes,No,Yes,parallelStream(,Research
gromit25/JUTools,https://github.com/gromit25/JUTools,gromit25,User,,0,0,0,0,956,0,0,2,,,,,,gpl-3.0,,0,,No,No,Yes,No,Yes,parallelStream(,Research
maplestoryteam/maplestory,https://github.com/maplestoryteam/maplestory,maplestoryteam,Organization,,0,0,0,0,53,0,0,1,,,,,,apache-2.0,,0,,No,No,Yes,No,Yes,parallelStream(,Industrial OSS
miyabayt/spring-boot-r2dbc-rest-sample,https://github.com/miyabayt/spring-boot-r2dbc-rest-sample,miyabayt,User,,0,0,0,0,51,37,1,2,,,,,,apache-2.0,r2dbc;rest-api;spring-boot,0,,No,No,Yes,Yes,Yes,parallelStream(,Industrial OSS
